sim,scenario,lmm_coef,lmm_pval,lmm_reject,ancova_coef,ancova_pval,ancova_reject,lcmm_coef,lcmm_pval,lcmm_reject,jm_coef,jm_pval,jm_reject,jm_alpha,n_subjects,n_events
124,uniform,0.405504,0.000099,1,3.300340,0.000825,1,0.308387,0.000000,1,0.403705,0.000142,1,-0.073591,400,141
125,uniform,0.072135,0.487782,0,0.751970,0.440529,0,0.198561,0.000783,1,0.067485,0.521428,0,-0.067105,400,148
126,uniform,0.410856,0.000070,1,4.198588,0.000012,1,0.280974,0.000001,1,0.399413,0.000157,1,-0.088407,400,142
127,uniform,0.251341,0.011923,1,2.863150,0.002405,1,0.204470,0.014307,1,0.241999,0.016851,1,-0.060359,400,149
128,uniform,0.271594,0.008864,1,3.491989,0.000316,1,0.221200,0.026632,1,0.258975,0.013827,1,-0.058460,400,155
129,uniform,0.330438,0.001181,1,3.456377,0.000562,1,0.342240,0.000511,1,0.325297,0.001634,1,-0.059036,400,140
130,uniform,0.310064,0.002551,1,2.801090,0.003693,1,0.194787,0.000583,1,0.307644,0.003171,1,-0.070185,400,139
131,uniform,0.355761,0.000191,1,2.574744,0.003592,1,0.223187,0.001838,1,0.352505,0.000302,1,-0.082699,400,153
132,uniform,0.387201,0.000287,1,3.082876,0.001130,1,0.223695,0.000067,1,0.384294,0.000432,1,-0.079142,400,163
133,uniform,0.298865,0.002608,1,1.952862,0.044286,1,0.297801,0.022791,1,0.300794,0.002745,1,-0.061333,400,131
134,uniform,0.174935,0.104398,0,1.603601,0.103845,0,0.211434,0.000211,1,0.165518,0.130094,0,-0.071005,400,154
135,uniform,0.207952,0.034706,1,2.173040,0.017841,1,0.197167,0.081053,0,0.197039,0.049204,1,-0.064807,400,150
136,uniform,0.318607,0.002285,1,2.506064,0.007458,1,0.329295,0.002776,1,0.321254,0.002573,1,-0.072907,400,147
137,uniform,0.107076,0.293666,0,0.828477,0.384494,0,0.285871,0.000003,1,0.100805,0.329967,0,-0.062668,400,149
138,uniform,0.280782,0.007370,1,3.034045,0.002003,1,0.243104,0.000307,1,0.272707,0.010642,1,-0.080365,400,133
139,uniform,0.145336,0.149502,0,2.743026,0.004446,1,0.256739,0.000004,1,0.133314,0.190846,0,-0.059199,400,151
140,uniform,0.198355,0.045884,1,1.242462,0.177331,0,0.241440,0.000012,1,0.202380,0.046156,1,-0.080182,400,144
141,uniform,0.269461,0.006542,1,2.193629,0.026062,1,0.208330,0.019920,1,0.271245,0.006656,1,-0.055693,400,129
